p,phat,new_p,new_phat,phat_mc,new_p_mc,new_phat_mc,phat_de,new_p_de,new_phat_de,phat_bs,new_p_bs,new_phat_bs
1e-10,0.0,2.911053910862806e-10,0.0,0.0,1.7040724934757707e-10,0.0,0.0,1.955526955431403e-10,0.0,0.0,1.4053750720012012e-10,0.0
0.001001001100900901,0.0004767296347059174,0.001456984134777771,0.0007746856563971158,0.000536320839044157,0.0007047774410832889,0.00041713843036767775,0.0008342768607353555,0.0009564836343273204,0.0007150944520588761,0.0014897801084559918,0.0004057809933509844,0.0006555032477206364
0.002002002101801802,0.0012514152911030333,0.0028249330453029896,0.0017281449258089506,0.0012514152911030333,0.0013891270312164068,0.0010130504737500745,0.0019069185388236696,0.0019129670731019453,0.0017281449258089506,0.0029199690125737443,0.0008115618461644617,0.0013705976997795126
0.003003003102702703,0.0019069185388236696,0.004198028442879762,0.0026816041952207855,0.0017281449258089506,0.002061647719230057,0.0012514152911030333,0.0026816041952207855,0.00286945051187657,0.0025028305822060665,0.004052201895000298,0.0012654186096617251,0.0017877361301471902
0.004004004103603603,0.0026220129908825457,0.0053059400955026755,0.003337107442941422,0.0022644657648531077,0.002766424989906096,0.001668553721470711,0.003277516238603182,0.0037230675946576326,0.0030391514212502234,0.00542279959477981,0.0017613729853226416,0.0025028305822060665
0.005005005104504504,0.0032179250342649424,0.006327092549216939,0.003873428281985579,0.003456289851617901,0.003389776320081364,0.00184732733448543,0.0039926106906620585,0.0046882951805043115,0.003933019486323818,0.006376258864191645,0.0022174327892364085,0.003277516238603182
0.006006006105405405,0.003813837077647339,0.0076680559362190745,0.0045289315297062155,0.0043501579166914965,0.003971983630639831,0.0022644657648531077,0.004648113938382695,0.005623241046560654,0.004290566712353256,0.0076872653596329185,0.002635894293700307,0.0035754722602943803
0.007007007106306307,0.0043501579166914965,0.009449723650719605,0.005363208390441571,0.004886478755735653,0.0044258140124262026,0.0026220129908825457,0.0054823907991180506,0.006515958922750305,0.005184434777426852,0.00899827185507419,0.0030577793111949726,0.004052201895000298
0.008008008107207207,0.004648113938382695,0.011615419587270312,0.006674214885882844,0.00554198200345629,0.0048721729505210275,0.0033966986472796614,0.006137894046838686,0.00734173185016768,0.005720755616471009,0.009772957511471307,0.0035041382492897967,0.004588522734044455
0.009009009108108108,0.005124843573088612,0.014185356720972195,0.008044812585662356,0.006137894046838686,0.005318531888615852,0.00369465466897086,0.006614623681544604,0.008207693180940528,0.006316667659853406,0.010428460759191942,0.003950497187384621,0.005303617186103331
0.010010010109009008,0.005601573207794529,0.015268665205980126,0.008342768607353555,0.006614623681544604,0.005764890826710677,0.004052201895000298,0.0075084917466181995,0.009657472162497415,0.007150944520588761,0.011560693641618497,0.004457294898075729,0.005959120433823967
0.01101101110990991,0.006435850068529885,0.016922606312614944,0.009057863059412431,0.0073297181336034805,0.006242825712405518,0.0043501579166914965,0.007806447768309397,0.01046802574824429,0.0076872653596329185,0.012812108932721531,0.004972324442031297,0.006376258864191645
0.012012012110810811,0.006912579703235802,0.018960026355470824,0.009832548715809547,0.008283177403015315,0.006757855256361085,0.004767296347059174,0.008461951016030034,0.011205708102950861,0.007866038972647637,0.014123115428162802,0.005506647941246158,0.007150944520588761
0.013013013111711711,0.00727012692926524,0.02001277496709207,0.010249687146177223,0.009057863059412431,0.007307564499535393,0.005124843573088612,0.009475001489780109,0.012150527160366305,0.008581133424706512,0.015493713127942316,0.0060286764563769945,0.007746856563971158
0.014014014112612614,0.007866038972647637,0.020969775916647122,0.010666825576544902,0.010249687146177223,0.00788977181009386,0.0054823907991180506,0.010547643167868423,0.012788182786216056,0.00923663667242715,0.01644717239735415,0.006363445659948114,0.008163994994338836
0.015015015113513514,0.008342768607353555,0.022077132394838887,0.011679876050294977,0.01084559918955962,0.008452646995092114,0.005899529229485728,0.011501102437280258,0.01387994624245531,0.010309278350515464,0.017698587688457185,0.006698214863519233,0.008402359811691794
0.016016016114414416,0.008521542220368274,0.023208484887290062,0.012037423276324415,0.011560693641618497,0.009010473624664297,0.006137894046838686,0.01269292652404505,0.014587827895530314,0.01102437280257434,0.018532864549192538,0.007046971661358685,0.00899827185507419
0.01701701711531532,0.009057863059412431,0.024515117073310243,0.01287170013705977,0.012216196889339134,0.009525503168619866,0.006376258864191645,0.013408020976103927,0.015355002541605637,0.012037423276324415,0.019545915022942614,0.007562001205314252,0.009415410285441869
0.018018018116216217,0.009355819081103629,0.02575849143085037,0.013229247363089208,0.01299088254573625,0.010044513921736269,0.006614623681544604,0.01454025385853048,0.016335855560836457,0.013050473750074489,0.02038019188367797,0.00807447435511935,0.009772957511471307
0.01901901911711712,0.009892139920147786,0.027154812055192618,0.014123115428162802,0.014421071449854002,0.010626721232294738,0.007091353316250521,0.015374530719265837,0.017243684602862592,0.013586794589118645,0.021452833561766284,0.008570428730780268,0.010130504737500745
0.02002002011801802,0.010249687146177223,0.027942504298889365,0.014301889041177521,0.014957392288898159,0.011208928542853203,0.00738930933794172,0.01626839878433943,0.018188024713275814,0.014659436267206961,0.022704248852869317,0.009058980009882077,0.010428460759191942
0.02102102111891892,0.010726416780883142,0.030004980488468454,0.015136165901912878,0.015672486740957035,0.01179113585341167,0.007985221381324117,0.017281449258089505,0.01906310731165165,0.015374530719265837,0.02377689053095763,0.009490940272554487,0.010964781598236101
0.022022022119819823,0.011620284845956737,0.03149195277137976,0.015851260353971754,0.016327989988677672,0.012358287703421834,0.008640724629044753,0.018234908527501342,0.019700762937501403,0.01608962517132471,0.024551576187354745,0.0099229005352269,0.011441511232942018
