p,phat,new_p,new_phat,phat_mc,new_p_mc,new_phat_mc,phat_de,new_p_de,new_phat_de,phat_bs,new_p_bs,new_phat_bs
1e-10,0.0,2.0393727059354356e-10,0.0,0.0,2.0393727059354356e-10,0.0,0.0,4.1181181178063065e-10,0.0,0.0,1.1781781781603605e-10,0.0
0.001001001100900901,0.0007026060296371997,0.0010305602673910147,0.0007026060296371997,0.0008942258559018906,0.001048295767285083,0.0009580991313234543,0.0015329586101175269,0.0028118711854577053,0.004726622381195708,0.000830352580480327,0.0001783566524950376,0.0
0.002002002101801802,0.0015329586101175269,0.0018108701066038512,0.001341338783852836,0.0019161982626469086,0.002186245481941689,0.002043944813490036,0.0034491568727644355,0.004622741114108602,0.0075370464997445066,0.0015329586101175269,0.0003567131871722574,0.00019161982626469086
0.003003003102702703,0.0022994379151762903,0.002525715740926145,0.002043944813490036,0.0027465508431272355,0.0029665553211545258,0.0027465508431272355,0.004982115482881962,0.0061478898551085015,0.009708737864077669,0.002491057741440981,0.0005350697218494772,0.0003193663771078181
0.004004004103603603,0.003321410321921308,0.0031652441408455087,0.002491057741440981,0.0036407766990291263,0.0042719944180231095,0.003832396525293817,0.006323454266734798,0.00739638559784904,0.011880429228410833,0.00370464997445069,0.000713426256526697,0.0005748594787940726
0.005005005104504504,0.004343382728666326,0.0036854507003207327,0.0032575370464997446,0.004471129279509453,0.004839492482905172,0.004279509453244763,0.008239652529381707,0.008644881340589577,0.014179867143587124,0.004471129279509453,0.0008917827912039167,0.0007664793050587634
0.006006006105405405,0.005556974961676035,0.004487971678465251,0.003832396525293817,0.005556974961676035,0.005320850809940936,0.0048543689320388345,0.009644864588656106,0.010364719327360843,0.016862544711292796,0.005237608584568216,0.0011433445052719741,0.0008942258559018906
0.007007007106306307,0.006578947368421052,0.0055274781878625655,0.004982115482881962,0.006578947368421052,0.005766742146633985,0.005237608584568216,0.010858456821665814,0.011925339005786517,0.018778742973939704,0.005876341338783853,0.0015105491354897795,0.0012135922330097086
0.008008008107207207,0.0075370464997445066,0.006327426471061273,0.005876341338783853,0.0074731732243229435,0.006295284434495687,0.005812468063362289,0.012966274910577414,0.015142269583385087,0.023377618804292285,0.00670669391926418,0.0018777537657075848,0.0015329586101175269
0.009009009108108108,0.009325498211548287,0.007022788730868481,0.006578947368421052,0.008431272355646398,0.006919532305865957,0.0062595809913132345,0.01481859989780276,0.016079142612663112,0.024591211037301993,0.0074731732243229435,0.0021495112803768374,0.0017245784363822177
0.010010010109009008,0.010028104241185488,0.007803098570081317,0.00740929994890138,0.009325498211548287,0.00741990946856009,0.006898313745528871,0.01622381195707716,0.018078472400348662,0.027337761880429228,0.008431272355646398,0.0023724569487233622,0.002171691364333163
0.01101101110990991,0.011241696474195196,0.008928648590546323,0.009197751660705161,0.01009197751660705,0.007900100138844913,0.007345426673479816,0.017501277465508433,0.01921875192148111,0.028870720490546755,0.00900613183444047,0.0025954026170698875,0.002363311190597854
0.012012012110810811,0.012455288707204906,0.009593076720697483,0.009644864588656106,0.01130556974961676,0.008310487802519261,0.007792539601430761,0.018842616249361267,0.02125060513420519,0.03238375063873276,0.009580991313234543,0.002818348285416412,0.0024271844660194173
0.013013013111711711,0.013477261113949923,0.010306173656235786,0.010283597342871742,0.01219979560551865,0.008700642722125678,0.007984159427695453,0.019992335206949412,0.02203625068557695,0.03404445579969341,0.01009197751660705,0.003037588387531301,0.002618804292284108
0.014014014112612614,0.014690853346959631,0.01122911386624055,0.011688809402146142,0.013157894736842105,0.009109671918722249,0.008750638732754216,0.021269800715380684,0.02335017725521668,0.0363438937148697,0.01060296371997956,0.003238958668618485,0.0029381706693919264
0.015015015113513514,0.015968318855390906,0.012232739145993828,0.012646908533469597,0.014243740419008687,0.009589862589007072,0.009197751660705161,0.022994379151762903,0.025569113367902744,0.04075114971895759,0.011497189575881452,0.003440328949705668,0.0031936637710781807
0.016016016114414416,0.017501277465508433,0.013143106603991298,0.013668880940214614,0.015648952478283087,0.010096739103862065,0.009389371486969852,0.024463464486458867,0.028613448840483363,0.045413898824731735,0.012646908533469597,0.003641699230792852,0.0034491568727644355
0.01701701711531532,0.018650996423096575,0.014159304635751872,0.01481859989780276,0.01660705160960654,0.010790347849829034,0.009772611139499234,0.026188042922841083,0.03304104946026669,0.05224833929483904,0.013541134389371486,0.003843069511880036,0.003513030148185999
0.018018018116216217,0.01960909555442003,0.015051087309137966,0.01603219213081247,0.017181911088400614,0.011543074781531758,0.010794583546244251,0.027337761880429228,0.035348411724099554,0.05569749616760347,0.01430761369443025,0.004060981665888698,0.0037685232498722533
0.01901901911711712,0.020950434338272865,0.01594286998252407,0.017437404190086866,0.01801226366888094,0.012261110118757839,0.011561062851303015,0.028679100664282066,0.03778202667261803,0.05965763924374042,0.014882473173224322,0.00434473069832973,0.003960143076136944
0.02002002011801802,0.02210015329586101,0.016536966640820803,0.01820388349514563,0.01871486969851814,0.012885357990128106,0.01219979560551865,0.030275932549821156,0.039129720483380856,0.06208482370975984,0.015840572304547777,0.00462847973077076,0.004087889626980072
0.02102102111891892,0.023441492079713848,0.01717733769769249,0.019098109351047523,0.019481349003576905,0.014082722933631402,0.013157894736842105,0.031872764435360246,0.039910030322593694,0.06310679611650485,0.01660705160960654,0.004912228763211792,0.00440725600408789
0.022022022119819823,0.02452733776188043,0.018167817641536257,0.01980071538068472,0.02031170158405723,0.014528614270324453,0.013860500766479305,0.033916709248850284,0.04134064018757702,0.06534236075625958,0.017948390393459378,0.0051730610727150255,0.004535002554931017
