p,phat,new_p,new_phat,phat_mc,new_p_mc,new_phat_mc,phat_de,new_p_de,new_phat_de,phat_bs,new_p_bs,new_phat_bs
1e-10,0.0,0.0010010015166499833,6.387327542156362e-05,0.0,1.445445445400901e-10,0.0,0.0,1.3472472471225226e-09,0.0,0.0,1.283465283436937e-10,0.0
0.001001001100900901,6.387327542156362e-05,0.006979453269697676,0.0007664793050587634,0.0002554931016862545,0.0004458914812375939,0.0002554931016862545,0.0,0.04169535345948241,0.0004471129279509453,0.003960143076136944,0.0002837491607875598,0.001021972406745018
0.002002002101801802,0.00012774655084312725,0.01274898563137036,0.001341338783852836,0.0005748594787940726,0.0008917828179306434,0.0002554931016862545,0.0,0.08397386633474666,0.0012774655084312723,0.007984159427695453,0.0005674981932285913,0.0022994379151762903
0.003003003102702703,0.00019161982626469086,0.016370725488672157,0.0019161982626469086,0.0009580991313234543,0.0014294940783662726,0.0003832396525293817,0.0,0.10208256530944383,0.0017245784363822177,0.011880429228410833,0.0008512472256696227,0.003321410321921308
0.004004004103603603,0.0003193663771078181,0.02391380503344536,0.0032575370464997446,0.0012774655084312723,0.0019969921432483355,0.0005748594787940726,0.0,0.1259883523532932,0.0019161982626469086,0.015329586101175269,0.00112917038171023,0.004471129279509453
0.005005005104504504,0.000510986203372509,0.02921039229033528,0.004024016351558508,0.0017245784363822177,0.002564490208130398,0.0007664793050587634,0.0,0.12985691760488655,0.001980071538068472,0.019161982626469086,0.0014005824996973035,0.00600408788962698
0.006006006105405405,0.0007026060296371997,0.03417331275479945,0.004535002554931017,0.002171691364333163,0.0031121444006571132,0.0009580991313234543,0.0,0.13310006736864222,0.0022994379151762903,0.022355646397547266,0.0016719946176843772,0.006770567194685743
0.007007007106306307,0.0007664793050587634,0.037364191423735205,0.004726622381195708,0.0025549310168625446,0.003592335070941936,0.0012135922330097086,0.0,0.13568690508218983,0.002491057741440981,0.025868676545733264,0.001943406735671451,0.007856412876852325
0.008008008107207207,0.001021972406745018,0.04148643178148745,0.005045988758303525,0.002874297393970363,0.00406763133853939,0.0012774655084312723,0.0,0.1380830283684244,0.002682677567705672,0.028934593765968318,0.0022148188536585244,0.008878385283597343
0.009009009108108108,0.001021972406745018,0.04510817163878924,0.005620848237097598,0.0031297904956566172,0.004513522675232439,0.0014052120592743995,0.0,0.1393270148914583,0.002682677567705672,0.03378896269800715,0.0024862309716455976,0.010028104241185488
0.010010010109009008,0.0010858456821665815,0.04973091249699194,0.005940214614205417,0.00370464997445069,0.004959414011925488,0.0017245784363822177,0.0,0.14059471579469132,0.002810424118548799,0.03806847215125191,0.0027576430896326712,0.010858456821665814
0.01101101110990991,0.0010858456821665815,0.05515462942934643,0.00670669391926418,0.004151762902401635,0.005472022055970877,0.0019161982626469086,0.0,0.14206178171036618,0.0029381706693919264,0.04215636177823199,0.0030279697032482016,0.011944302503832396
0.012012012110810811,0.0011497189575881452,0.05893506174351942,0.007281553398058253,0.004535002554931017,0.005992228615446101,0.0021078180889115995,0.0,0.1432824217490604,0.00300204394481349,0.04535002554931017,0.003288072982985814,0.01271078180889116
0.013013013111711711,0.0014052120592743995,0.06128260420377083,0.007728666326009197,0.0048543689320388345,0.006411149361018141,0.002491057741440981,6.387327542156362e-05,0.14429730763397067,0.0030659172202350538,0.04847981604496679,0.0035481762627234256,0.013541134389371486
0.014014014112612614,0.0015968318855390904,0.06772137542935228,0.008431272355646398,0.005365355135411344,0.006827314608598322,0.0025549310168625446,6.387327542156362e-05,0.14519641448681114,0.0031297904956566172,0.05205671946857435,0.0038082795424610382,0.01501021972406745
0.015015015113513514,0.001660705160960654,0.06958409891092253,0.00849514563106796,0.005812468063362289,0.00730259804364655,0.002682677567705672,6.387327542156362e-05,0.14622387312372873,0.0032575370464997446,0.05525038323965253,0.004065807673454849,0.015648952478283087
0.016016016114414416,0.0017245784363822177,0.07201696215305901,0.00900613183444047,0.0062595809913132345,0.007822804603121776,0.002810424118548799,6.387327542156362e-05,0.1471156557971148,0.0033852835973428716,0.058763413387838526,0.004315506822002956,0.01628768523249872
0.01701701711531532,0.0021078180889115995,0.07708509349990633,0.01009197751660705,0.006451200817577925,0.008295153583255601,0.0029381706693919264,6.387327542156362e-05,0.148220793494903,0.0033852835973428716,0.06093510475217169,0.004565205970551064,0.01711803781297905
0.018018018116216217,0.0022994379151762903,0.07914220551351396,0.010283597342871742,0.006962187020950434,0.008741044919948648,0.0031297904956566172,6.387327542156362e-05,0.14866668483159604,0.0033852835973428716,0.06419264179867143,0.004814905119099171,0.01820388349514563
0.01901901911711712,0.0024271844660194173,0.08182607071225766,0.010794583546244251,0.0076009197751660705,0.00936486340517529,0.0032575370464997446,0.00019161982626469086,0.14911257616828907,0.0033852835973428716,0.06738630556974962,0.005060189514821889,0.019417475728155338
0.02002002011801802,0.0025549310168625446,0.08303715813895224,0.010922330097087379,0.00830352580480327,0.010142814092614135,0.0037685232498722533,0.00019161982626469086,0.14972219481328128,0.003513030148185999,0.07032447623914154,0.00529139243014421,0.01992846193152785
0.02102102111891892,0.002682677567705672,0.08440472534043002,0.011241696474195196,0.008622892181911089,0.01062300476289896,0.0038962698007153807,0.00019161982626469086,0.15036825295682002,0.0035769034236075624,0.07313490035769034,0.005522595345466532,0.02082268778742974
0.022022022119819823,0.0029381706693919264,0.08648555157833092,0.011688809402146142,0.009070005109862033,0.011103195433183782,0.004151762902401635,0.00019161982626469086,0.15106186170278701,0.0036407766990291263,0.07715891670924885,0.005753798260788854,0.021461420541645376
